gate_id,sequence,gate_name,gate_question,required_artifacts,accountable_owner,reviewers,waiver_authority,typst_package_required,cannot_pass_when,decision,decision_date,evidence_link,open_blockers
SG-01,1,Requirements approved,Company's written program exists and is agreed; Sec 6 standard of care is measured against it.,SCR-003;SCR-004;DSN-001,contractor_program_manager,company_decision_authority,company_decision_authority,true,required artifact absent | condition silently unknown | required professional review missing | cited requirement lacks source support | required Typst package has not compiled | issue metadata or source hashes do not reconcile,pending,,,
SG-02,2,Candidate qualified,A specific parcel has passed screening and merits diligence spend.,SCR-001;SCR-006;SCR-007;SCR-008;SCR-002,contractor_program_manager,company_decision_authority;internal_peer,company_decision_authority,true,required artifact absent | condition silently unknown | required professional review missing | cited requirement lacks source support | required Typst package has not compiled | issue metadata or source hashes do not reconcile,pending,,,
SG-03,3,Application or offer ready,The submission or offer package is complete against the pathway's stated requirements.,ACQ-003;ACQ-007;ACQ-008;ACQ-013;ACQ-014;ACQ-017,contractor_program_manager,company_decision_authority;michigan_licensed_attorney,company_decision_authority,true,required artifact absent | condition silently unknown | required professional review missing | cited requirement lacks source support | required Typst package has not compiled | issue metadata or source hashes do not reconcile,pending,,,
SG-04,4,Due diligence accepted,Diligence conditions are resolved or knowingly accepted; no condition is silently unknown.,DD-001;DD-002;DD-026;DD-027,contractor_program_manager,company_decision_authority;michigan_licensed_attorney,company_decision_authority,true,required artifact absent | condition silently unknown | required professional review missing | cited requirement lacks source support | required Typst package has not compiled | issue metadata or source hashes do not reconcile,pending,,,
SG-05,5,Closing authorized,Counsel has reviewed conveyance terms and Company authorises funds to close.,ACQ-019;ACQ-020;ACQ-022;ACQ-023;CLO-001;CLO-002,contractor_program_manager,michigan_licensed_attorney,company_decision_authority,true,required artifact absent | condition silently unknown | required professional review missing | cited requirement lacks source support | required Typst package has not compiled | issue metadata or source hashes do not reconcile,pending,,,
SG-06,6,Design basis approved,The design satisfies the program and the preliminary code analysis; sealed-drawing triggers identified.,DSN-009;DSN-010;DSN-012;DSN-014,contractor_program_manager,company_decision_authority;licensed_architect_or_engineer,company_decision_authority,true,required artifact absent | condition silently unknown | required professional review missing | cited requirement lacks source support | required Typst package has not compiled | issue metadata or source hashes do not reconcile,pending,,,
SG-07,7,Financing and permit basis approved,Cost plan and sources/uses hold; the permit path and authority are identified.,FIN-001;FIN-002;APR-001;APR-002,contractor_program_manager,company_decision_authority;cpa_or_tax_advisor;licensed_architect_or_engineer,company_decision_authority,true,required artifact absent | condition silently unknown | required professional review missing | cited requirement lacks source support | required Typst package has not compiled | issue metadata or source hashes do not reconcile,pending,,,
SG-08,8,Procurement complete,"Bids are levelled, scope gaps closed, and the selected parties qualified.",PRO-005;PRO-006;PRO-007;PRO-010,contractor_program_manager,company_decision_authority;internal_peer,company_decision_authority,true,required artifact absent | condition silently unknown | required professional review missing | cited requirement lacks source support | required Typst package has not compiled | issue metadata or source hashes do not reconcile,pending,,,
SG-09,9,Notice to proceed authorized,Permits issued and baseline budget and schedule fixed before field work starts.,CON-001;CON-002;CON-003;APR-007,contractor_program_manager,company_decision_authority;internal_peer,company_decision_authority,true,required artifact absent | condition silently unknown | required professional review missing | cited requirement lacks source support | required Typst package has not compiled | issue metadata or source hashes do not reconcile,pending,,,
SG-10,10,Construction payment approved,Cost-to-complete and lien-waiver position reviewed before Company disburses.,CON-007;CON-008;CON-014,contractor_program_manager,company_decision_authority;michigan_licensed_attorney,company_decision_authority,true,required artifact absent | condition silently unknown | required professional review missing | cited requirement lacks source support | required Typst package has not compiled | issue metadata or source hashes do not reconcile,pending,,,
SG-11,11,Occupancy or final completion approved,Final sign-offs and certificate of occupancy obtained.,CON-019;CLO-009;CLO-020,contractor_program_manager,company_decision_authority,company_decision_authority,true,required artifact absent | condition silently unknown | required professional review missing | cited requirement lacks source support | required Typst package has not compiled | issue metadata or source hashes do not reconcile,pending,,,
SG-12,12,Compliance closed,Continuing obligations discharged or calendared with a named owner and evidence.,CLO-011;CLO-012;CLO-016;CLO-018;CLO-019,contractor_program_manager,company_decision_authority;michigan_licensed_attorney,company_decision_authority,true,required artifact absent | condition silently unknown | required professional review missing | cited requirement lacks source support | required Typst package has not compiled | issue metadata or source hashes do not reconcile,pending,,,
