from_id,to_id,dependency_type,rationale
GOV-001,GOV-002,requires_input,GOV-002 cannot be completed without GOV-001
GOV-002,GOV-003,requires_input,GOV-003 cannot be completed without GOV-002
GOV-002,GOV-004,requires_input,GOV-004 cannot be completed without GOV-002
GOV-003,GOV-005,requires_input,GOV-005 cannot be completed without GOV-003
GOV-003,GOV-006,requires_input,GOV-006 cannot be completed without GOV-003
GOV-002,GOV-007,requires_input,GOV-007 cannot be completed without GOV-002
GOV-002,GOV-008,requires_input,GOV-008 cannot be completed without GOV-002
GOV-002,GOV-009,requires_input,GOV-009 cannot be completed without GOV-002
GOV-002,GOV-010,requires_input,GOV-010 cannot be completed without GOV-002
GOV-003,GOV-015,requires_input,GOV-015 cannot be completed without GOV-003
GOV-005,GOV-016,requires_input,GOV-016 cannot be completed without GOV-005
GOV-009,GOV-017,requires_input,GOV-017 cannot be completed without GOV-009
CON-008,GOV-017,requires_input,GOV-017 cannot be completed without CON-008
GOV-018,GOV-019,requires_input,GOV-019 cannot be completed without GOV-018
GOV-021,GOV-020,requires_input,GOV-020 cannot be completed without GOV-021
GOV-012,GOV-024,requires_input,GOV-024 cannot be completed without GOV-012
SCR-004,SCR-001,requires_input,SCR-001 cannot be completed without SCR-004
SCR-001,SCR-002,requires_input,SCR-002 cannot be completed without SCR-001
SCR-008,SCR-002,requires_input,SCR-002 cannot be completed without SCR-008
SCR-003,SCR-004,requires_input,SCR-004 cannot be completed without SCR-003
SCR-001,SCR-005,requires_input,SCR-005 cannot be completed without SCR-001
SCR-001,SCR-006,requires_input,SCR-006 cannot be completed without SCR-001
SCR-001,SCR-007,requires_input,SCR-007 cannot be completed without SCR-001
SCR-006,SCR-008,requires_input,SCR-008 cannot be completed without SCR-006
SCR-007,SCR-008,requires_input,SCR-008 cannot be completed without SCR-007
PUB-001,PUB-002,requires_input,PUB-002 cannot be completed without PUB-001
PUB-002,PUB-003,requires_input,PUB-003 cannot be completed without PUB-002
PUB-003,PUB-004,requires_input,PUB-004 cannot be completed without PUB-003
PUB-001,PUB-005,requires_input,PUB-005 cannot be completed without PUB-001
ACQ-001,ACQ-003,requires_input,ACQ-003 cannot be completed without ACQ-001
ACQ-001,ACQ-004,requires_input,ACQ-004 cannot be completed without ACQ-001
ACQ-001,ACQ-005,requires_input,ACQ-005 cannot be completed without ACQ-001
ACQ-001,ACQ-006,requires_input,ACQ-006 cannot be completed without ACQ-001
ACQ-001,ACQ-007,requires_input,ACQ-007 cannot be completed without ACQ-001
ACQ-001,ACQ-008,requires_input,ACQ-008 cannot be completed without ACQ-001
ACQ-001,ACQ-009,requires_input,ACQ-009 cannot be completed without ACQ-001
ACQ-001,ACQ-010,requires_input,ACQ-010 cannot be completed without ACQ-001
ACQ-001,ACQ-011,requires_input,ACQ-011 cannot be completed without ACQ-001
ACQ-001,ACQ-012,requires_input,ACQ-012 cannot be completed without ACQ-001
ACQ-001,ACQ-013,requires_input,ACQ-013 cannot be completed without ACQ-001
ACQ-001,ACQ-014,requires_input,ACQ-014 cannot be completed without ACQ-001
ACQ-001,ACQ-015,requires_input,ACQ-015 cannot be completed without ACQ-001
ACQ-001,ACQ-016,requires_input,ACQ-016 cannot be completed without ACQ-001
ACQ-001,ACQ-017,requires_input,ACQ-017 cannot be completed without ACQ-001
ACQ-001,ACQ-018,requires_input,ACQ-018 cannot be completed without ACQ-001
ACQ-001,ACQ-019,requires_input,ACQ-019 cannot be completed without ACQ-001
ACQ-001,ACQ-020,requires_input,ACQ-020 cannot be completed without ACQ-001
ACQ-001,ACQ-021,requires_input,ACQ-021 cannot be completed without ACQ-001
ACQ-001,ACQ-022,requires_input,ACQ-022 cannot be completed without ACQ-001
ACQ-001,ACQ-023,requires_input,ACQ-023 cannot be completed without ACQ-001
ACQ-001,ACQ-024,requires_input,ACQ-024 cannot be completed without ACQ-001
ACQ-001,ACQ-025,requires_input,ACQ-025 cannot be completed without ACQ-001
ACQ-001,ACQ-026,requires_input,ACQ-026 cannot be completed without ACQ-001
SCR-002,DD-001,requires_input,DD-001 cannot be completed without SCR-002
DD-001,DD-002,requires_input,DD-002 cannot be completed without DD-001
DD-001,DD-003,requires_input,DD-003 cannot be completed without DD-001
DD-001,DD-004,requires_input,DD-004 cannot be completed without DD-001
DD-001,DD-005,requires_input,DD-005 cannot be completed without DD-001
DD-001,DD-006,requires_input,DD-006 cannot be completed without DD-001
DD-001,DD-007,requires_input,DD-007 cannot be completed without DD-001
DD-001,DD-008,requires_input,DD-008 cannot be completed without DD-001
DD-001,DD-009,requires_input,DD-009 cannot be completed without DD-001
DD-001,DD-010,requires_input,DD-010 cannot be completed without DD-001
DD-001,DD-011,requires_input,DD-011 cannot be completed without DD-001
DD-001,DD-012,requires_input,DD-012 cannot be completed without DD-001
DD-001,DD-013,requires_input,DD-013 cannot be completed without DD-001
DD-001,DD-014,requires_input,DD-014 cannot be completed without DD-001
DD-001,DD-015,requires_input,DD-015 cannot be completed without DD-001
DD-001,DD-016,requires_input,DD-016 cannot be completed without DD-001
DD-001,DD-017,requires_input,DD-017 cannot be completed without DD-001
DD-001,DD-018,requires_input,DD-018 cannot be completed without DD-001
DD-001,DD-019,requires_input,DD-019 cannot be completed without DD-001
DD-001,DD-020,requires_input,DD-020 cannot be completed without DD-001
DD-001,DD-021,requires_input,DD-021 cannot be completed without DD-001
DD-001,DD-022,requires_input,DD-022 cannot be completed without DD-001
DD-001,DD-023,requires_input,DD-023 cannot be completed without DD-001
DD-001,DD-024,requires_input,DD-024 cannot be completed without DD-001
DD-001,DD-025,requires_input,DD-025 cannot be completed without DD-001
DD-001,DD-026,requires_input,DD-026 cannot be completed without DD-001
DD-001,DD-027,requires_input,DD-027 cannot be completed without DD-001
SCR-003,DSN-001,requires_input,DSN-001 cannot be completed without SCR-003
SCR-003,DSN-002,requires_input,DSN-002 cannot be completed without SCR-003
SCR-003,DSN-003,requires_input,DSN-003 cannot be completed without SCR-003
SCR-003,DSN-004,requires_input,DSN-004 cannot be completed without SCR-003
SCR-003,DSN-005,requires_input,DSN-005 cannot be completed without SCR-003
SCR-003,DSN-006,requires_input,DSN-006 cannot be completed without SCR-003
SCR-003,DSN-007,requires_input,DSN-007 cannot be completed without SCR-003
SCR-003,DSN-008,requires_input,DSN-008 cannot be completed without SCR-003
SCR-003,DSN-009,requires_input,DSN-009 cannot be completed without SCR-003
