source_id,document_title,publishing_authority,url,environment,retrieved_at,document_version,adopted_at,capture_path,capture_sha256,pinpoint,requirement_supported,supports_artifact_ids,verification_status,conflicts_with,superseded_by,notes
SRC-001,Second Amended and Restated Vacant Land Policy,Detroit Land Bank Authority,https://dlba-production-bucket.s3.us-east-2.amazonaws.com/Land-reuse/SECOND-AMENDED-AND-RESTATED-VACANT-LAND-POLICY.pdf,production,2026-08-26,Second Amended and Restated,2025-11-11,research/_captures/2026-08-26/dlba-second-amended-restated-vacant-land-policy.pdf,66690c9200cf75e82672e75ff2ba55e8419116982f6b4bc805376494bc68e866,"Ch. VI (Infill Housing Lots), pp.16-18; Ch. VIII (Land-Based Projects) pp.21-23; Ch. IX (Land Review Areas) pp.24-25","Infill Housing Lot eligibility, purchaser eligibility, pricing/discounts, selection process, development-agreement compliance, and Land Review Area constraints",ACQ-001;ACQ-002;ACQ-003;ACQ-004;ACQ-007;ACQ-025,verified,SRC-003,,"Operative policy for new-construction land acquisition. Header on every page reads 'Adopted by Board of Directors 11/11/2025'. Supersedes all prior DLBA vacant-land sale policies EXCEPT the Projects Procedures and Guidelines and the Community Partnership Policy (Introduction, p.iii)."
SRC-002,Neighborhood Create-a-Project Pilot Policy,Detroit Land Bank Authority,https://dlba-production-bucket.s3.us-east-2.amazonaws.com/DLBA+Policies/POLICIES+-+Create-a-Project+Program+Pilot+Policy+(FINAL+March+2022).pdf,production,2026-08-26,Pilot; filename says FINAL March 2022,UNCONFIRMED,research/_captures/2026-08-26/dlba-create-a-project-pilot-policy.pdf,a7e47d62d536e0d27b746f43aba4c37bcf6b6ee313c224d71450a650702ebdd0,Sec. I (Objective) p.1; Sec. II (Purchaser Eligibility) p.1; Sec. III (Property Eligibility) pp.1-2; Sec. IV (Terms) p.2; Sec. V (Compliance) p.2,Scope of the Create-a-Project pilot: which purchasers and which project types are eligible,ACQ-001;ACQ-002,conflicting,SRC-004,,"CAUTION. Embedded PDF /Title is 'WORKING DRAFT 3/18/22' and the file was generated 2023-10-02, despite being published as 'FINAL March 2022'; no adoption date appears in the text. Policy cites the (first) 'Amended and Restated Vacant Land Policy', now superseded by SRC-001. Its zoning list (R1,R1H,R2,R2H,R3,R3H) is narrower than SRC-001 Ch.VI. Confirm currency with DLBA before relying."
SRC-003,Purchase Property (program overview),Detroit Land Bank Authority,https://buildingdetroit.org/purchase_property,production,2026-08-26,undated web page,,,,"Program tiles: Auction, Own It Now, Rehabbed & Ready, Marketed Properties, Side Lots, Neighborhood Lots, Purchase Property by Application",Enumeration of publicly marketed DLBA disposition programs and their entry points,ACQ-001;ACQ-002,conflicting,SRC-001,,"Page does NOT list Infill Housing Lots, Oversize Lots, Improved Lots, Accessory Structure Lots, Homestead Lots or Land-Based Projects, all of which SRC-001 establishes. It also states Board vote is required for marketed/application sales, whereas SRC-001 Introduction p.iii states Oversize, Neighborhood, Infill Housing and Homestead sales no longer require Board approval. Web summary trails the adopted policy."
SRC-004,Development Projects / Create-a-Project,Detroit Land Bank Authority,https://buildingdetroit.org/development-projects,production,2026-08-26,undated web page,,,,Three-step process; 2-4 week callback statement; Board approval statement,"Entry route for property not listed on Auction, Own-It-Now, Rehabbed & Ready, Side Lot or Marketing platforms",ACQ-001;ACQ-002;ACQ-015,conflicting,SRC-002,,"The site's /Create-a-Project nav link resolves to this development-application content, but the adopted policy of that name (SRC-002) is a block-club public-benefit pilot with no housing use. Treat 'Create-a-Project' as an ambiguous label and confirm which programme is meant before applying. Page supplies no eligibility, pricing, conveyance or obligation detail."
SRC-005,Frequently Asked Questions,Detroit Land Bank Authority,https://buildingdetroit.org/faq,production,2026-08-26,undated web page,,,,Buyer eligibility list; deed and closing section; closing-cost estimates,"Baseline purchaser eligibility (Wayne County tax delinquency, blight/code violations, bankruptcy, nuisance abatement, Michigan business licensure); Quit Claim Deed conveyance; Reconveyance Deed; ~30-day close",ACQ-004;ACQ-005;ACQ-022;ACQ-023;ACQ-025,verified,,,"Closing-cost figures quoted (title ~$600, recording $30, tax certification $25, title insurance from $322.25, postponement $50) are web-page figures with no effective date. Re-verify at offer; do not carry into a budget as a quote."
SRC-006,Policies and Procedures (index),Detroit Land Bank Authority,https://buildingdetroit.org/our-policies/,production,2026-08-26,index page,,,,Full list of 14 board-approved policy documents,Authoritative inventory of DLBA board-approved policies and their canonical PDF URLs,ACQ-001;ACQ-021,verified,,,Canonical index. Filenames encode adoption dates and are the cheapest available change signal. Re-check this index before relying on any cached policy.
SRC-007,Compliance,Detroit Land Bank Authority,https://buildingdetroit.org/Compliance,production,2026-08-26,undated web page,,,,Post-sale timeline table (15/45/60 day milestones); evidence rules; Release of Interest,"Post-sale compliance mechanics for Auction/Own-It-Now/NAP purchases: photo evidence cadence, Property Transfer Affidavit, DWSD account, Release of Interest on deed",ACQ-025;CLO-011;CLO-012;CLO-014,verified,,,"Describes STRUCTURE-sale compliance, not Infill Housing Lot compliance. SRC-001 Ch.VI(F) imposes a development agreement instead. Do not apply this page's milestones to a vacant-land infill purchase. Page is silent on extension and waiver procedure -- see UNRESOLVED in ACQ-025."
SRC-008,Property Sales and Purchase FAQs,City of Detroit,https://detroitmi.gov/how-do-i/find-information/properties-faq,production,2026-08-26,undated web page,,,,Review-body list; conceptual plan requirement; market-value pricing; ~4-month timeline; 10% earnest money for commercial,Public Property Purchase Application review path for City-owned property; City Council as final decision maker; conceptual plan contents; indicative timeline,ACQ-002;ACQ-006;ACQ-008;ACQ-011;ACQ-012;ACQ-016,verified,,,Governs CITY-owned property. DLBA-owned property follows SRC-001. Determining which body owns a parcel is therefore the first branch of the pathway decision tree.
SRC-009,Marketing Programs (marketed properties),Detroit Land Bank Authority,https://buildingdetroit.org/marketing-programs,production,2026-08-26,undated web page,,,,60-day listing; ~90 days to close; scoring categories; six proposal-guideline categories including New Build Opportunities,"Marketed-property proposal route, scoring dimensions (price, experience and financing, project feasibility, neighborhood benefit) and indicative timeline",ACQ-002;ACQ-008;ACQ-009,verified,,,Per-category proposal guideline PDFs (incl. 'New Build Opportunities') are referenced but were not retrieved. Scoring weights are not published on the page. Retrieve the New Build guideline before preparing any proposal.
SRC-010,Public Property Purchase Application (portal),City of Detroit,https://detroitmi.gov/webapp/property-application,production,2026-08-26,live web application,,,,,Submission mechanism for purchasing unlisted City- or DLBA-owned property,ACQ-007;ACQ-015,listed_not_retrieved,,,Live form; field list not captured. Inventory the actual field set before completing ACQ-007. Do not reconstruct the form.
SRC-011,Detroit Development Opportunities map,City of Detroit,https://detroitmi.gov/webapp/detroit-development-opportunities,production,2026-08-26,live web application,,,,,"Authoritative determination of whether DLBA, the City, or another entity owns a given parcel",ACQ-003;SCR-001,listed_not_retrieved,,,First branch of the pathway decision tree. Check for an underlying ArcGIS service that the pipeline could consume rather than scraping the viewer.
SRC-012,Structure Sales Policy (Oct 2024),Detroit Land Bank Authority,https://dlba-production-bucket.s3.us-east-2.amazonaws.com/DLBA+Policies/POLICIES+-+Structure+Sales+Policy+(Oct+2024).pdf,production,2026-08-26,Oct 2024,UNCONFIRMED,,,,Disposition of DLBA property containing a structure (relevant only if acquiring to demolish),ACQ-002,listed_not_retrieved,,,Known to exist from SRC-006; contents not read. Retrieve only if a structure-bearing parcel becomes a candidate.
SRC-013,First Amended Tax Capture Waiver Policy,Detroit Land Bank Authority,https://dlba-production-bucket.s3.us-east-2.amazonaws.com/DLBA+Policies/First+Amended+Tax+Capture+Policy+(Final+Nov.+2020).pdf,production,2026-08-26,"First Amended, Nov 2020",UNCONFIRMED,research/_captures/2026-08-26/dlba-tax-capture-waiver-policy.pdf,b55b6faf002305dad2e150603adfc7bae079a5c79e124fe9b27f8b85d77a30e7,Sec. I (statutory basis MCL 211.7gg; waiver authority MCL 211.1025a(1)); Sec. II (governs over conflicting DLBA policy); Sec. III (application); Sec. IV(C) (Projects and Infill Housing Lots); Sec. IV(D) (de minimis); Sec. VI(A) (calculation),"Whether and on what terms the DLBA's five-year, fifty-percent tax capture is waived for an Infill Housing Lot or Projects purchase",ACQ-017;DD-005;FIN-007,verified,,,"ANSWERS a material open question, unfavourably. Sec. IV(A)-(B) waive the capture free of charge for Side/Accessory/Oversize/Neighborhood Lots and for Auction/Own-It-Now. Sec. IV(C) expressly covers 'Other Programs (including, but not limited to, Projects and Infill Housing Lots)' and waives ONLY IF the owner compensates the DLBA in full for the estimated remaining capture, or did not receive reasonable advance notice that compensation may be required. Sec. IV(D) permits a free waiver at staff discretion where the estimated capture is under $250. Sec. VI(A): DLBA calculates the amount in its sole discretion and may demand pro formas, development plans and timetables. Denial is appealable to the Board once per property. Carry the buy-out as a real cost line, not a contingency."
SRC-014,Neighborhood Development Projects Policy (Procedures Governing the Disposition of Properties to Support City of Detroit Economic Development Projects),Detroit Land Bank Authority,https://dlba-production-bucket.s3.us-east-2.amazonaws.com/DLBA+Policies/Neighd+Dev+Projects+FINAL+approved+11.11.2025.pdf,production,2026-08-26,approved 11.11.2025,2025-11-11,research/_captures/2026-08-26/dlba-economic-development-projects-procedures.pdf,55ab570827ebd78efbb6371847f68183c6c249c446c9fa6c8ceae2b301f28574,"Sec. II (Qualified Properties); Sec. III(A) (zoning gate and option agreement); Sec. III(B)(1) (option deposit); Sec. III(C) (FMV, 12-month price expiry); Sec. III(C)(3)(b) (pricing credits); Sec. V(A)-(B) (approval thresholds)","Projects pathway: qualified uses, zoning gate, option-agreement mechanism, pricing credits, and the quantified threshold at which DLBA Board approval is required",ACQ-002;ACQ-017,verified,,,"Adopted 11.11.2025, same day as SRC-001, and expressly NOT superseded by it. Sec. II qualifies new construction and affordable housing, so this is a live pathway for Krabby. Sec. V RESOLVES the Board-approval question for this pathway with a quantified threshold: CEO or designee may transfer up to FOUR parcels to the same transferee in any rolling 12 months, or any transaction with aggregate value at or under $75,000; the Board must approve FIVE or more parcels in a rolling 12 months, any transaction over $75,000, or any exception to the Policy. Sec. III(A)(2) permits an option agreement while a purchaser pursues rezoning or a variance -- a materially useful mechanism where zoning does not yet permit the use."
SRC-015,BSEED Plan Review,"City of Detroit, Buildings Safety Engineering and Environmental Department",https://detroitmi.gov/departments/buildings-safety-engineering-and-environmental-department/bseed-divisions/bseed-plan-review,production,2026-08-26,undated web page,,,,Codes enforced; ePlans/eLAPS process steps; coordinating departments,"Which codes plan review applies, the submission route (eLAPS account then ePlans upload), and which other departments coordinate review",APR-002;APR-006;DSN-009,verified,,,"Codes enforced: Detroit Zoning Ordinance, Michigan Building Code, Michigan Residential Code, Michigan Rehabilitation Code, Michigan Electrical/Mechanical/Plumbing Codes, International Fuel Gas Code, City Elevator and Boiler Codes. Coordinating reviewers include Health, Water & Sewerage, Fire Marshal, and Planning & Development -- each is a potential comment source and a schedule dependency. Page does not publish review timelines."
SRC-016,"Buildings, Safety Engineering and Environmental Department (divisions index)",City of Detroit,https://detroitmi.gov/departments/buildings-safety-engineering-and-environmental-department,production,2026-08-26,undated web page,,,,Division list and responsibilities,"Which BSEED division owns which approval: Development Resource Center, Zoning/Special Land Use, Construction Inspection, Licensing and Permits, Property Maintenance, Environmental Affairs, Permits & Plan Review",APR-001;APR-002;APR-009,verified,,,"Zoning/Special Land Use handles site plan review, conditional land use hearings, and zoning verification -- the route for DD-010 and DD-012. Page does not state which code EDITIONS Detroit has adopted; that is an open question."
SRC-017,Residential Building Permit/Plan Submittal Checklist,"City of Detroit, BSEED",https://detroitmi.gov/sites/detroitmi.localhost/files/2018-05/Res%20Bldg%20Permit%20Checklist_2013-06.pdf,production,2026-08-26,2013-06 (per filename),UNCONFIRMED,research/_captures/2026-08-26/detroit-residential-building-plan-checklist.pdf,1f1e66de5f1a280e48c87bd82d01e3feeffb7498f15cc22efabf891f345e7322,"Preamble (submittal quantities, sealed-drawing statement, fee deposit); Plot Plan; Foundation Plans; Floor Plans; Elevations; Framing Plans; Electrical; Mechanical; Details and General Notes","What a residential building plan submission must contain, and which elements require a Michigan-licensed architect or engineer seal",APR-002;DSN-009;DSN-012;DSN-014;ACQ-010,verified,,,"STALENESS RISK: filename dates the checklist 2013-06 and it is filed under a 2018-05 directory -- roughly 13 years old. It states design must meet the codes in effect AT TIME OF SUBMITTAL, so the checklist may lag the current code edition. Concrete sealed-drawing triggers: truss calculations must be signed and sealed by a Michigan-licensed architect or engineer; masonry and concrete basement walls require an engineered design. Requires three complete plan sets, one set of calculations, one set of specifications, and a State of Michigan Energy Code Compliance worksheet for new construction. Confirm currency with the Development Resource Center (313-224-2372) before relying."
SRC-018,Fee Schedule (BSEED),"City of Detroit, BSEED",https://detroitmi.gov/sites/detroitmi.localhost/files/2025-12/Fee%20Schedule.Effective_January_1_2024_Modified%20July%2018%2C%202025.pdf,production,2026-08-26,"Effective 2024-01-01, modified 2025-07-18",2024-01-01,research/_captures/2026-08-26/detroit-bseed-fee-schedule.pdf,c3975f8a4e9ec4891ec0de6725c1d1325176dc53ecd0d61b3f97263784ab02e4,Filename carries effective and modification dates; line items not yet abstracted,Permit and plan review fee amounts for new residential construction,APR-002;FIN-003;CON-002,verified,,,"Captured and hashed but line items NOT yet abstracted into a cost line. Effective 2024-01-01 as modified 2025-07-18, so reasonably current. SRC-017 states a deposit is due at log-in with the balance at permit issuance -- a cash-flow timing point for FIN-004, not just a total."
SRC-019,Accela Citizen Access / eLAPS permit portal,"City of Detroit, BSEED",https://aca-prod.accela.com/DETROIT/Default.aspx,production,2026-08-26,live web application,,,,,Submission and tracking mechanism for building and trade permits and for scheduling inspections,APR-003;APR-006;APR-007;APR-009,listed_not_retrieved,,,"Hostname is aca-PROD, which is the production instance -- note this explicitly because Accela deployments commonly expose an aca-test twin. Field set and status vocabulary not inventoried. Check whether it exposes a queryable permit-status endpoint the pipeline could poll rather than scraping."
SRC-020,How do I turn on / transfer / turn off water service,Detroit Water and Sewerage Department,https://detroitmi.gov/departments/water-and-sewerage-department/dwsd-customer-care/how-do-i-turn-ontransferturn-water-service,production,2026-08-26,undated web page,,,,,"Water service account establishment, referenced by DLBA compliance as a 60-day post-purchase obligation",DD-019;DD-020;APR-003;CLO-010,listed_not_retrieved,,,"Linked from SRC-007. Covers ACCOUNT setup, which is a different question from new-service tap availability and capacity for a vacant infill lot. DD-019 needs the latter and it is not yet sourced."
