artifact_id,title,workstream,service_code,artifact_type,scope,status,owner_role,decision_role,required_reviewer_role,legal_review_required,typst_issue_required,typst_template,confidentiality,depends_on,batch,file_path,notes
GOV-001,Project operating README,governance,ADM,reference,reusable,review_required,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,,1,README.md,
GOV-002,Artifact lifecycle and publication rules,governance,ADM,policy,reusable,review_required,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,GOV-001,1,templates/governance/artifact-lifecycle-and-publication-rules.md,
GOV-003,Master artifact register,governance,ADM,register,reusable,review_required,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,GOV-002,1,artifact-register.csv,
GOV-004,Source register,governance,ADM,register,reusable,review_required,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,GOV-002,1,source-register.csv,
GOV-005,Stage-gate register,governance,ADM,register,reusable,review_required,contractor_program_manager,company_decision_authority,company_decision_authority,false,false,,internal,GOV-003,1,stage-gates.csv,
GOV-006,Dependency register,governance,ADM,register,reusable,review_required,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,GOV-003,1,dependency-register.csv,
GOV-007,Decision log,governance,ADM,log,reusable,template,contractor_program_manager,company_decision_authority,company_decision_authority,false,false,,internal,GOV-002,1,templates/governance/decision-log.md,
GOV-008,Assumption log,governance,ADM,log,reusable,template,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,GOV-002,1,templates/governance/assumption-log.md,
GOV-009,Risk and issue register,governance,ADM,register,reusable,template,contractor_program_manager,company_decision_authority,company_decision_authority,false,false,,internal,GOV-002,1,templates/governance/risk-and-issue-register.md,
GOV-010,Action-item register,governance,ADM,register,reusable,template,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,GOV-002,1,templates/governance/action-item-register.md,
GOV-011,Contact and stakeholder register,governance,ADM,register,reusable,template,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,,1,templates/governance/contact-and-stakeholder-register.md,
GOV-012,Meeting-note template,governance,ADM,template,reusable,template,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,,1,templates/governance/meeting-note-template.md,
GOV-013,Correspondence log,governance,ADM,log,reusable,template,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,,1,templates/governance/correspondence-log.md,
GOV-014,Document-request log,governance,ADM,log,reusable,template,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,,1,templates/governance/document-request-log.md,
GOV-015,Professional-review tracker,governance,ADM,tracker,reusable,template,contractor_program_manager,company_decision_authority,company_decision_authority,true,false,,internal,GOV-003,1,templates/governance/professional-review-tracker.md,Enforces the reviewer named on every legal/technical artifact
GOV-016,Stage-gate record,governance,ADM,record,parcel_specific,template,contractor_program_manager,company_decision_authority,company_decision_authority,false,true,stage-gate-package,internal,GOV-005,1,templates/governance/stage-gate-record.md,
GOV-017,Weekly status report,governance,ADM,report,reusable,template,contractor_program_manager,company_decision_authority,company_decision_authority,false,true,report,internal,GOV-009;CON-008,1,templates/governance/weekly-status-report.md,Contract Sec 1.2 deliverable; weekly cadence is a contractual obligation
GOV-018,Time record and service-code log,governance,ADM,log,reusable,template,contractor_program_manager,company_decision_authority,internal_peer,false,false,,sensitive,,1,templates/governance/time-record-and-service-code-log.md,Contract Sec 2.2 and 2.7; quarter-hour granularity; retain 3 years
GOV-019,Semi-monthly invoice worksheet,governance,ADM,worksheet,reusable,template,contractor_program_manager,company_decision_authority,internal_peer,false,false,,sensitive,GOV-018,1,templates/governance/semi-monthly-invoice-worksheet.md,Exhibit B form is Company-supplied; this is the preparation worksheet only
GOV-020,Expenditure substantiation and receipt log,governance,ADM,log,reusable,template,contractor_program_manager,company_decision_authority,internal_peer,false,false,,sensitive,GOV-021,1,templates/governance/expenditure-substantiation-and-receipt-log.md,"Contract Sec 3.3; itemised receipt per expenditure, coded to property"
GOV-021,Spending authorization log,governance,ADM,log,reusable,template,contractor_program_manager,company_decision_authority,company_decision_authority,false,false,,sensitive,,1,templates/governance/spending-authorization-log.md,Contract Sec 3.2 thresholds are bracketed pending execution; do not hardcode
GOV-022,Conflict and vendor-integrity disclosure,governance,ADM,record,reusable,template,contractor_program_manager,company_decision_authority,company_decision_authority,true,false,,sensitive,,1,templates/governance/conflict-and-vendor-integrity-disclosure.md,"Contract Sec 3.5 and 4.3; disclosure duty is continuous, not one-time"
GOV-023,Work Product delivery register,governance,ADM,register,reusable,template,contractor_program_manager,company_decision_authority,company_decision_authority,false,false,,internal,,1,templates/governance/work-product-delivery-register.md,Contract Sec 5.4; native editable format on request and at end of Term
GOV-024,Weekly coordination meeting agenda and minutes,governance,ADM,template,reusable,template,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,GOV-012,1,templates/governance/weekly-coordination-meeting-agenda-and-minutes.md,Contract Sec 1.3; the meeting where email-equivalent authorizations are given
SCR-001,Candidate-parcel dossier,parcel-screening,LND,dossier,parcel_specific,template,contractor_program_manager,company_decision_authority,internal_peer,false,false,,internal,SCR-004,1,templates/parcel-screening/candidate-parcel-dossier.md,
SCR-002,Parcel comparison and go/no-go memo,parcel-screening,LND,memo,parcel_specific,template,contractor_program_manager,company_decision_authority,company_decision_authority,false,true,memo,internal,SCR-001;SCR-008,1,templates/parcel-screening/parcel-comparison-and-go-no-go-memo.md,
